"name","C1_score","C2_score","C_score","D1_score","D2_score","D_score","c_off","d_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_C_dominant","facet_D_dominant","C1_variance","C2_variance","D1_variance","D2_variance"
"Mixed-HiD1_LoD2","45.83","37.50","41.67","91.67","37.50","64.58","-8.33","14.58","16.80","0.2375","119.74","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C2","D1","0.19","0.19","0.25","0.19"
"Mixed-LoD1_HiD2","41.67","50.00","45.83","29.17","87.50","58.33","-4.17","8.33","9.32","0.1318","116.57","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C1","tense","0.25","0.50","0.19","0.19"
"Diverge-C1hiC2lo","75.00","20.83","47.92","54.17","37.50","45.83","-2.08","-4.17","4.66","0.0659","243.43","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","tense","D2","0.75","0.19","0.19","0.69"
"Diverge-C1loC2hi","16.67","95.83","56.25","54.17","45.83","50.00","6.25","0.00","6.25","0.0884","0.00","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","tense","D2","0.50","0.19","0.19","0.69"
"Diverge-D1hiD2lo","41.67","58.33","50.00","79.17","16.67","47.92","0.00","-2.08","2.08","0.0295","270.00","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C2","tense","0.25","0.25","0.19","0.50"
"Diverge-D1loD2hi","54.17","58.33","56.25","20.83","79.17","50.00","6.25","0.00","6.25","0.0884","0.00","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C2","tense","0.19","0.25","0.19","1.19"
"Boundary-C-DelibSide","70.83","70.83","70.83","45.83","50.00","47.92","20.83","-2.08","20.94","0.2961","354.29","Architecture","Early","FALSE","FALSE","FALSE","Architecture","Early Architecture","equal","D1","0.19","0.19","0.19","0.00"
"Boundary-D-SeqSide","50.00","50.00","50.00","66.67","79.17","72.92","0.00","22.92","22.92","0.3241","90.00","Algorithm","Early","FALSE","FALSE","FALSE","Algorithm","Early Algorithm","equal","D2","0.00","0.50","0.00","0.19"
"Boundary-C-IntSide","20.83","25.00","22.92","45.83","50.00","47.92","-27.08","-2.08","27.16","0.3841","184.40","Gestalt","Late","FALSE","FALSE","FALSE","Gestalt","Late Gestalt","C1","D1","0.19","0.25","0.19","0.00"
"Boundary-D-HolSide","54.17","50.00","52.08","25.00","20.83","22.92","2.08","-27.08","27.16","0.3841","274.40","Architecture","Late","FALSE","FALSE","FALSE","Architecture","Late Architecture","C1","D2","0.19","0.00","0.25","0.19"
"Noisy-HighVar","58.33","70.83","64.58","54.17","58.33","56.25","14.58","6.25","15.87","0.2244","23.20","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C2","D2","0.75","3.19","5.69","0.25"
"Noisy-VeryHighVar","70.83","66.67","68.75","70.83","29.17","50.00","18.75","0.00","18.75","0.2652","0.00","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C1","tense","3.69","1.00","2.19","6.19"
"Corner-TopRight","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","equal","equal","0.00","0.00","0.00","0.00"
"Corner-TopLeft","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomLeft","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Gestalt","Mid","FALSE","FALSE","FALSE","Gestalt","Mid Gestalt","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomRight","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Cipher","Mid","FALSE","FALSE","FALSE","Cipher","Mid Cipher","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisC-Fifty","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Algorithm","Early","FALSE","FALSE","FALSE","Algorithm","Early Algorithm","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisD-Fifty","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Algorithm","Late","FALSE","FALSE","FALSE","Algorithm","Late Algorithm","equal","equal","0.00","0.00","0.00","0.00"
