"name","A1_past","A2_future","Direction","B1_continuity","B2_coherence","Mode","dir_off","mode_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","tension_ax1","tension_ax2","has_tension","result_type","result_label","facet_1_dominant","facet_2_dominant"
"Tension-B-HiLo","54.17","52.08","48.96","89.58","10.42","50.00","-1.04","0.00","1.04","0.0147","180.00","N/A","N/A","TRUE","FALSE","TRUE","TRUE","Horizon","Horizon+tension","A1","tense"
"Tension-B-LoHi","47.92","47.92","50.00","6.25","93.75","50.00","0.00","0.00","0.00","0.0000","0.00","N/A","N/A","TRUE","FALSE","TRUE","TRUE","Horizon","Horizon+tension","equal","tense"
"Mixed-Navi-B2low","8.33","79.17","85.42","93.75","37.50","65.63","35.42","15.63","38.71","0.5474","23.81","Navigator","Late","FALSE","FALSE","FALSE","FALSE","Navigator","Late Navigator","A1","B1"
"Mixed-Arch-B1low","87.50","8.33","10.42","29.17","85.42","57.29","-39.58","7.29","40.25","0.5692","169.56","Archivist","Early","FALSE","FALSE","TRUE","TRUE","Archivist","Early Archivist","A2","tense"
"Boundary-FutureSide","8.33","95.83","93.75","50.00","47.92","48.96","43.75","-1.04","43.76","0.6189","358.64","Pioneer","Early","FALSE","FALSE","FALSE","FALSE","Pioneer","Early Pioneer","A2","B2"
"Boundary-PastSide","95.83","12.50","8.33","50.00","50.00","50.00","-41.67","0.00","41.67","0.5893","180.00","Archivist","Early","FALSE","FALSE","FALSE","FALSE","Archivist","Early Archivist","A1","equal"
"Boundary-ContinuousSide","47.92","52.08","52.08","85.42","89.58","87.50","2.08","37.50","37.56","0.5311","86.82","Navigator","Early","FALSE","FALSE","FALSE","FALSE","Navigator","Early Navigator","equal","B2"
"Boundary-FluidSide","52.08","50.00","48.96","6.25","8.33","7.29","-1.04","-42.71","42.72","0.6042","268.60","Storyteller","Early","FALSE","FALSE","FALSE","FALSE","Storyteller","Early Storyteller","A1","B1"
"Noisy-HighVar","41.67","50.00","54.17","31.25","16.67","23.96","4.17","-26.04","26.37","0.3730","279.09","Pioneer","Late","FALSE","FALSE","FALSE","FALSE","Pioneer","Late Pioneer","A1","B2"
"Noisy-VeryHighVar","33.33","56.25","61.46","33.33","52.08","42.71","11.46","-7.29","13.58","0.1921","327.53","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","A1","B1"
"Corner-Archivist","100.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","equal","equal"
"Corner-Navigator","0.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Navigator","Mid","FALSE","FALSE","FALSE","FALSE","Navigator","Mid Navigator","equal","equal"
"Corner-Storyteller","100.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Storyteller","Mid","FALSE","FALSE","FALSE","FALSE","Storyteller","Mid Storyteller","equal","equal"
"Corner-Pioneer","0.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Pioneer","Mid","FALSE","FALSE","FALSE","FALSE","Pioneer","Mid Pioneer","equal","equal"
