"name","A1_past","A2_future","Direction","B1_continuity","B2_coherence","Mode","dir_off","mode_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","tension_ax1","tension_ax2","has_tension","result_type","result_label","facet_1_dominant","facet_2_dominant"
"Fullness-A-BothHi","95.83","95.83","50.00","45.83","50.00","47.92","0.00","-2.08","2.08","0.0295","270.00","N/A","N/A","TRUE","TRUE","FALSE","TRUE","Horizon","Horizon+tension","tense","B1"
"Fullness-A-Mild","79.17","83.33","52.08","54.17","50.00","52.08","2.08","2.08","2.95","0.0417","45.00","N/A","N/A","TRUE","TRUE","FALSE","TRUE","Horizon","Horizon+tension","tense","B1"
"Tension-B-HiLo","54.17","50.00","47.92","91.67","8.33","50.00","-2.08","-0.00","2.08","0.0295","180.00","N/A","N/A","TRUE","FALSE","TRUE","TRUE","Horizon","Horizon+tension","A1","tense"
"Tension-B-LoHi","45.83","45.83","50.00","8.33","95.83","52.08","0.00","2.08","2.08","0.0295","90.00","N/A","N/A","TRUE","FALSE","TRUE","TRUE","Horizon","Horizon+tension","equal","tense"
"Mixed-Navi-B2low","8.33","79.17","85.42","91.67","37.50","64.58","35.42","14.58","38.30","0.5417","22.38","Navigator","Late","FALSE","FALSE","FALSE","FALSE","Navigator","Late Navigator","A1","B1"
"Mixed-Arch-B1low","83.33","4.17","10.42","29.17","87.50","58.33","-39.58","8.33","40.45","0.5721","168.11","Archivist","Early","FALSE","FALSE","TRUE","TRUE","Archivist","Early Archivist","A2","tense"
"Boundary-FutureSide","8.33","91.67","91.67","50.00","45.83","47.92","41.67","-2.08","41.72","0.5900","357.14","Pioneer","Early","FALSE","FALSE","FALSE","FALSE","Pioneer","Early Pioneer","equal","B2"
"Boundary-PastSide","91.67","12.50","10.42","50.00","50.00","50.00","-39.58","0.00","39.58","0.5598","180.00","Archivist","Early","FALSE","FALSE","FALSE","FALSE","Archivist","Early Archivist","A1","equal"
"Boundary-ContinuousSide","50.00","54.17","52.08","87.50","87.50","87.50","2.08","37.50","37.56","0.5311","86.82","Navigator","Early","FALSE","FALSE","FALSE","FALSE","Navigator","Early Navigator","A2","equal"
"Boundary-FluidSide","54.17","50.00","47.92","8.33","12.50","10.42","-2.08","-39.58","39.64","0.5606","266.99","Storyteller","Early","FALSE","FALSE","FALSE","FALSE","Storyteller","Early Storyteller","A1","B1"
"Noisy-HighVar","25.00","45.83","60.42","45.83","16.67","31.25","10.42","-18.75","21.45","0.3033","299.05","Pioneer","Late","FALSE","FALSE","FALSE","FALSE","Pioneer","Late Pioneer","A1","B2"
"Noisy-VeryHighVar","45.83","45.83","50.00","37.50","70.83","54.17","0.00","4.17","4.17","0.0589","90.00","N/A","N/A","TRUE","FALSE","FALSE","FALSE","Horizon","Horizon","equal","B2"
"Corner-Archivist","100.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Archivist","Mid","FALSE","FALSE","FALSE","FALSE","Archivist","Mid Archivist","equal","equal"
"Corner-Navigator","0.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Navigator","Mid","FALSE","FALSE","FALSE","FALSE","Navigator","Mid Navigator","equal","equal"
"Corner-Storyteller","100.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Storyteller","Mid","FALSE","FALSE","FALSE","FALSE","Storyteller","Mid Storyteller","equal","equal"
"Corner-Pioneer","0.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Pioneer","Mid","FALSE","FALSE","FALSE","FALSE","Pioneer","Mid Pioneer","equal","equal"
