"name","C1_score","C2_score","C_score","D1_score","D2_score","D_score","c_off","d_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_C_dominant","facet_D_dominant","C1_variance","C2_variance","D1_variance","D2_variance"
"Balanced-NearThreshold","58.33","52.08","55.21","47.92","50.00","48.96","5.21","-1.04","5.31","0.0751","348.69","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","D1","0.25","0.11","0.11","0.00"
"Balanced-WideThreshold","62.50","47.92","55.21","64.58","45.83","55.21","5.21","5.21","7.37","0.1042","45.00","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","D1","0.19","0.11","0.11","0.44"
"Mixed-HiC1_LoC2","89.58","37.50","63.54","50.00","47.92","48.96","13.54","-1.04","13.58","0.1921","355.60","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C1","D2","0.23","0.19","0.50","0.36"
"Mixed-LoC1_HiC2","25.00","87.50","56.25","47.92","54.17","51.04","6.25","1.04","6.34","0.0896","9.46","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","tense","D2","0.25","0.69","0.36","0.69"
"Mixed-HiD1_LoD2","45.83","35.42","40.63","89.58","37.50","63.54","-9.38","13.54","16.47","0.2329","124.70","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C2","D1","0.19","0.36","0.48","0.19"
"Mixed-LoD1_HiD2","43.75","54.17","48.96","29.17","85.42","57.29","-1.04","7.29","7.37","0.1042","98.13","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C1","tense","0.23","0.44","0.19","0.11"
"Diverge-C1hiC2lo","81.25","16.67","48.96","52.08","43.75","47.92","-1.04","-2.08","2.33","0.0329","243.43","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","tense","D2","0.61","0.25","0.11","0.48"
"Diverge-C1loC2hi","16.67","89.58","53.13","50.00","47.92","48.96","3.13","-1.04","3.29","0.0466","341.57","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","tense","D2","0.25","0.48","0.50","0.61"
"Diverge-D1hiD2lo","43.75","54.17","48.96","79.17","18.75","48.96","-1.04","-1.04","1.47","0.0208","225.00","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C1","tense","0.23","0.44","0.19","0.36"
"Diverge-D1loD2hi","52.08","54.17","53.13","16.67","81.25","48.96","3.13","-1.04","3.29","0.0466","341.57","N/A","N/A","TRUE","TRUE","TRUE","HaltingPoint","HaltingPoint+tension","C2","tense","0.36","0.19","0.50","0.86"
"Boundary-C-DelibSide","75.00","72.92","73.96","47.92","45.83","46.88","23.96","-3.13","24.16","0.3417","352.57","Architecture","Early","FALSE","FALSE","FALSE","Architecture","Early Architecture","C1","D2","0.25","0.23","0.11","0.19"
"Boundary-D-SeqSide","50.00","50.00","50.00","68.75","75.00","71.88","0.00","21.88","21.88","0.3094","90.00","Algorithm","Early","FALSE","FALSE","FALSE","Algorithm","Early Algorithm","equal","D2","0.00","0.25","0.11","0.25"
"Boundary-C-IntSide","27.08","25.00","26.04","47.92","52.08","50.00","-23.96","0.00","23.96","0.3388","180.00","Cipher","Early","FALSE","FALSE","FALSE","Cipher","Early Cipher","C2","D2","0.23","0.25","0.11","0.11"
"Boundary-D-HolSide","54.17","52.08","53.13","25.00","22.92","23.96","3.13","-26.04","26.23","0.3709","276.84","Architecture","Late","FALSE","FALSE","FALSE","Architecture","Late Architecture","C1","D2","0.19","0.11","0.25","0.23"
"Noisy-HighVar","43.75","68.75","56.25","62.50","66.67","64.58","6.25","14.58","15.87","0.2244","66.80","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C2","D2","3.23","3.61","4.19","0.75"
"Noisy-VeryHighVar","50.00","66.67","58.33","54.17","33.33","43.75","8.33","-6.25","10.42","0.1473","323.13","N/A","N/A","TRUE","TRUE","FALSE","HaltingPoint","HaltingPoint","C2","D2","4.25","3.50","4.69","5.75"
"Corner-TopRight","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Algorithm","Mid","FALSE","FALSE","FALSE","Algorithm","Mid Algorithm","equal","equal","0.00","0.00","0.00","0.00"
"Corner-TopLeft","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Architecture","Mid","FALSE","FALSE","FALSE","Architecture","Mid Architecture","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomLeft","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Gestalt","Mid","FALSE","FALSE","FALSE","Gestalt","Mid Gestalt","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomRight","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Cipher","Mid","FALSE","FALSE","FALSE","Cipher","Mid Cipher","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisC-Fifty","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Algorithm","Early","FALSE","FALSE","FALSE","Algorithm","Early Algorithm","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisD-Fifty","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Algorithm","Late","FALSE","FALSE","FALSE","Algorithm","Late Algorithm","equal","equal","0.00","0.00","0.00","0.00"
