"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant"
"Beacon-Late","70.83","68.75","69.79","79.17","83.33","81.25","19.79","31.25","36.99","0.5231","57.65","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","A1","B2"
"Balanced-Center","50.00","52.08","51.04","54.17","52.08","53.13","1.04","3.13","3.29","0.0466","71.57","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B1"
"Balanced-Near","56.25","50.00","53.13","52.08","50.00","51.04","3.13","1.04","3.29","0.0466","18.43","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A1","B1"
"Mixed-HiA1_LoA2","83.33","31.25","57.29","41.67","50.00","45.83","7.29","-4.17","8.40","0.1188","330.26","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A1","B1"
"Mixed-LoA1_HiA2","33.33","87.50","60.42","54.17","50.00","52.08","10.42","2.08","10.62","0.1502","11.31","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B1"
"Mixed-HiB1_LoB2","58.33","52.08","55.21","81.25","39.58","60.42","5.21","10.42","11.65","0.1647","63.43","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A1","B1"
"Mixed-LoB1_HiB2","54.17","58.33","56.25","37.50","87.50","62.50","6.25","12.50","13.98","0.1976","63.43","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B2"
"Diverge-A1hiA2lo","87.50","20.83","54.17","50.00","47.92","48.96","4.17","-1.04","4.29","0.0607","345.96","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","tense","B2"
"Diverge-A1loA2hi","8.33","81.25","44.79","47.92","54.17","51.04","-5.21","1.04","5.31","0.0751","168.69","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","tense","B2"
"Diverge-B1hiB2lo","45.83","35.42","40.63","83.33","20.83","52.08","-9.38","2.08","9.60","0.1358","167.47","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","A2","tense"
"Diverge-B1loB2hi","43.75","54.17","48.96","12.50","83.33","47.92","-1.04","-2.08","2.33","0.0329","243.43","N/A","N/A","TRUE","TRUE","Reflection","Reflection+tension","A1","tense"
"Boundary-A-ClearSide","75.00","79.17","77.08","50.00","47.92","48.96","27.08","-1.04","27.10","0.3833","357.80","Prism","Early","FALSE","FALSE","Prism","Early Prism","A2","B2"
"Boundary-B-AlignedSide","50.00","50.00","50.00","77.08","75.00","76.04","0.00","26.04","26.04","0.3683","90.00","Beacon","Early","FALSE","FALSE","Beacon","Early Beacon","equal","B1"
"Boundary-A-DiffSide","22.92","29.17","26.04","50.00","50.00","50.00","-23.96","0.00","23.96","0.3388","180.00","Ember","Early","FALSE","FALSE","Ember","Early Ember","A1","equal"
"Boundary-B-OtherSide","52.08","50.00","51.04","22.92","25.00","23.96","1.04","-26.04","26.06","0.3686","272.29","Prism","Late","FALSE","FALSE","Prism","Late Prism","A1","B1"
"Noisy-HighVar","52.08","62.50","57.29","45.83","27.08","36.46","7.29","-13.54","15.38","0.2175","298.30","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A2","B2"
"Noisy-VeryHighVar","29.17","52.08","40.63","27.08","43.75","35.42","-9.38","-14.58","17.34","0.2452","237.26","N/A","N/A","TRUE","FALSE","Reflection","Reflection","A1","B1"
"Corner-Beacon","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Beacon","Mid","FALSE","FALSE","Beacon","Mid Beacon","equal","equal"
"Corner-Prism","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Prism","Mid","FALSE","FALSE","Prism","Mid Prism","equal","equal"
"Corner-Aurora","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Aurora","Mid","FALSE","FALSE","Aurora","Mid Aurora","equal","equal"
"Corner-Ember","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Ember","Mid","FALSE","FALSE","Ember","Mid Ember","equal","equal"
"Split-A-Boundary","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Beacon","Early","FALSE","FALSE","Beacon","Early Beacon","equal","equal"
"Split-B-Boundary","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Beacon","Late","FALSE","FALSE","Beacon","Late Beacon","equal","equal"
