"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant","A1_variance","A2_variance","B1_variance","B2_variance"
"Mixed-LowB1_HighB2","47.92","47.92","47.92","33.33","81.25","57.29","-2.08","7.29","7.58","0.1072","105.95","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","equal","B2","0.61","0.36","0.25","0.36"
"Divergent-AgenticIntrovert","54.17","50.00","52.08","18.75","87.50","53.13","2.08","3.13","3.76","0.0531","56.31","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","A1","tense","0.19","0.25","0.36","0.19"
"Divergent-SocialFollower","47.92","43.75","45.83","83.33","8.33","45.83","-4.17","-4.17","5.89","0.0833","225.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","A2","tense","0.36","0.48","0.25","0.25"
"Divergent-EnergeticCalm","85.42","12.50","48.96","47.92","45.83","46.88","-1.04","-3.13","3.29","0.0466","251.57","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","B2","0.61","0.44","0.61","0.19"
"Divergent-SeekingTired","22.92","83.33","53.13","52.08","58.33","55.21","3.13","5.21","6.07","0.0859","59.04","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","B2","0.48","0.25","0.36","0.25"
"Boundary-A-BrightSide","79.17","75.00","77.08","50.00","50.00","50.00","27.08","0.00","27.08","0.3830","0.00","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","A1","equal","0.19","0.25","0.00","0.00"
"Boundary-B-OutSide","47.92","50.00","48.96","77.08","79.17","78.13","-1.04","28.13","28.14","0.3980","92.12","Spring","Late","FALSE","FALSE","FALSE","Spring","Late Spring","A1","B2","0.11","0.00","0.23","0.19"
"Boundary-A-DimSide","22.92","22.92","22.92","45.83","50.00","47.92","-27.08","-2.08","27.16","0.3841","184.40","Winter","Late","FALSE","FALSE","FALSE","Winter","Late Winter","equal","B1","0.23","0.23","0.19","0.00"
"Boundary-B-InSide","50.00","50.00","50.00","27.08","25.00","26.04","0.00","-23.96","23.96","0.3388","270.00","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","equal","B2","0.00","0.00","0.23","0.25"
"Noisy-HighVar","68.75","72.92","70.83","56.25","58.33","57.29","20.83","7.29","22.07","0.3122","19.29","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","A2","B2","4.61","3.98","2.98","3.75"
"Noisy-VeryHighVar","72.92","66.67","69.79","52.08","56.25","54.17","19.79","4.17","20.23","0.2860","11.89","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","A1","B2","1.73","5.75","4.61","5.73"
"Bias-RightSide","77.08","72.92","75.00","79.17","75.00","77.08","25.00","27.08","36.86","0.5212","47.29","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.23","0.23","0.19","0.25"
"Bias-LeftSide","22.92","29.17","26.04","25.00","25.00","25.00","-23.96","-25.00","34.63","0.4897","226.22","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","A1","equal","0.23","0.19","0.25","0.25"
"Corner-TopRight","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","equal","equal","0.00","0.00","0.00","0.00"
"Corner-TopLeft","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomLeft","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomRight","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisA-Fifty","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Summer","Early","FALSE","FALSE","FALSE","Summer","Early Summer","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisB-Fifty","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","equal","equal","0.00","0.00","0.00","0.00"
