"name","A1_score","A2_score","A_score","B1_score","B2_score","B_score","a_off","b_off","distance","prototypicality","angle_deg","quadrant","gradation","is_near_center","is_threshold","has_tension","result_type","result_label","facet_A_dominant","facet_B_dominant","A1_variance","A2_variance","B1_variance","B2_variance"
"Balanced-NearThreshold","45.83","58.33","52.08","54.17","50.00","52.08","2.08","2.08","2.95","0.0417","45.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B1","0.19","0.25","0.19","0.50"
"Balanced-WideThreshold","58.33","37.50","47.92","58.33","41.67","50.00","-2.08","0.00","2.08","0.0295","180.00","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B1","0.25","0.69","0.25","0.25"
"Mixed-HighA1_LowA2","66.67","29.17","47.92","54.17","58.33","56.25","-2.08","6.25","6.59","0.0932","108.43","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B2","0.00","0.69","0.19","0.25"
"Mixed-LowA1_HighA2","33.33","79.17","56.25","54.17","41.67","47.92","6.25","-2.08","6.59","0.0932","341.57","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A2","B2","0.50","0.19","0.19","0.75"
"Mixed-HighB1_LowB2","45.83","50.00","47.92","83.33","33.33","58.33","-2.08","8.33","8.59","0.1215","104.04","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","B1","0.19","0.00","0.00","0.00"
"Mixed-LowB1_HighB2","58.33","45.83","52.08","33.33","75.00","54.17","2.08","4.17","4.66","0.0659","63.43","N/A","N/A","TRUE","TRUE","FALSE","Threshold","THRESHOLD","A1","B2","0.25","0.69","0.00","0.25"
"Divergent-AgenticIntrovert","50.00","50.00","50.00","16.67","91.67","54.17","0.00","4.17","4.17","0.0589","90.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","equal","tense","0.00","0.50","0.50","0.25"
"Divergent-SocialFollower","50.00","37.50","43.75","83.33","12.50","47.92","-6.25","-2.08","6.59","0.0932","198.43","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","A2","tense","0.50","0.19","0.50","0.19"
"Divergent-EnergeticCalm","91.67","8.33","50.00","50.00","50.00","50.00","-0.00","0.00","0.00","0.0000","180.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","equal","0.25","0.25","0.50","0.00"
"Divergent-SeekingTired","16.67","83.33","50.00","54.17","54.17","54.17","0.00","4.17","4.17","0.0589","90.00","N/A","N/A","TRUE","TRUE","TRUE","Threshold","Threshold+tension","tense","equal","0.00","0.50","0.19","0.19"
"Boundary-A-BrightSide","79.17","75.00","77.08","50.00","50.00","50.00","27.08","0.00","27.08","0.3830","0.00","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","A1","equal","0.19","0.25","0.00","0.00"
"Boundary-B-OutSide","50.00","50.00","50.00","79.17","79.17","79.17","0.00","29.17","29.17","0.4125","90.00","Summer","Early","FALSE","FALSE","FALSE","Summer","Early Summer","equal","equal","0.00","0.00","0.19","0.19"
"Boundary-A-DimSide","25.00","25.00","25.00","41.67","50.00","45.83","-25.00","-4.17","25.34","0.3584","189.46","Winter","Late","FALSE","FALSE","FALSE","Winter","Late Winter","equal","B1","0.25","0.25","0.25","0.00"
"Boundary-B-InSide","50.00","50.00","50.00","29.17","25.00","27.08","0.00","-22.92","22.92","0.3241","270.00","Autumn","Late","FALSE","FALSE","FALSE","Autumn","Late Autumn","equal","B2","0.00","0.00","0.19","0.25"
"Noisy-HighVar","83.33","79.17","81.25","70.83","66.67","68.75","31.25","18.75","36.44","0.5154","30.96","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","3.00","1.69","2.19","2.00"
"Noisy-VeryHighVar","79.17","66.67","72.92","50.00","75.00","62.50","22.92","12.50","26.10","0.3692","28.61","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","A1","B2","1.69","6.00","3.50","6.75"
"Bias-RightSide","79.17","75.00","77.08","83.33","75.00","79.17","27.08","29.17","39.80","0.5629","47.12","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","A1","B1","0.19","0.25","0.00","0.25"
"Bias-LeftSide","25.00","25.00","25.00","25.00","20.83","22.92","-25.00","-27.08","36.86","0.5212","227.29","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","equal","B2","0.25","0.25","0.25","0.19"
"Corner-TopRight","100.00","100.00","100.00","100.00","100.00","100.00","50.00","50.00","70.71","1.0000","45.00","Summer","Mid","FALSE","FALSE","FALSE","Summer","Mid Summer","equal","equal","0.00","0.00","0.00","0.00"
"Corner-TopLeft","100.00","100.00","100.00","0.00","0.00","0.00","50.00","-50.00","70.71","1.0000","315.00","Autumn","Mid","FALSE","FALSE","FALSE","Autumn","Mid Autumn","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomLeft","0.00","0.00","0.00","0.00","0.00","0.00","-50.00","-50.00","70.71","1.0000","225.00","Winter","Mid","FALSE","FALSE","FALSE","Winter","Mid Winter","equal","equal","0.00","0.00","0.00","0.00"
"Corner-BottomRight","0.00","0.00","0.00","100.00","100.00","100.00","-50.00","50.00","70.71","1.0000","135.00","Spring","Mid","FALSE","FALSE","FALSE","Spring","Mid Spring","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisA-Fifty","50.00","50.00","50.00","83.33","83.33","83.33","0.00","33.33","33.33","0.4714","90.00","Summer","Early","FALSE","FALSE","FALSE","Summer","Early Summer","equal","equal","0.00","0.00","0.00","0.00"
"Split-AxisB-Fifty","83.33","83.33","83.33","50.00","50.00","50.00","33.33","0.00","33.33","0.4714","0.00","Summer","Late","FALSE","FALSE","FALSE","Summer","Late Summer","equal","equal","0.00","0.00","0.00","0.00"
